,street,city,state,zip,livingArea,latitude,longitude,status,detailUrl,county,buildingStyle,description,yearBuilt,lotSizeSquareFeet,rental,totalBuildingAreaSquareFeet
27,11980 Aukerman Way #87,Hampton,GA,30228,2176,33.42889,-84.31953,FOR_SALE,https://www.zillow.com/homedetails/11980-Aukerman-Way-87-Hampton-GA-30228/433655736_zpid/,Clayton County,SINGLE_FAMILY,"Gated Community, easy access to Hwy 75, luxury living at an affordable price. The Elston floor plan* Welcome Home to Shoal Creek! Luxury living at its finest ~. Tons of nearby Shopping and Dining. This floor plan opens the door to a dramatic expansive foyer that leads to an open concept family room. Expansive kitchen opens to family room with a long kitchen island. Cabinet color options include gray, white. Nice loft upstairs. Nice patio perfect for outside relaxing during the upcoming summer. Primary bedroom features a very nice tray ceiling, and huge room, and closet large enough sleep in! A spa bath with separate shower, soak in tub with lots of closet's space. The whole main floor is hardwood flooring. Stainless steel appliance whirlpool. Brand. Lots of recess lighting. Ceiling fans in master bedroom and family room. Open Air Fitness Center for Your Daily Exercise. And you will never be too far from home with Home Is Connected. ---+ Your new home is built with an industry leading suite of smart home products that keep you connected with the people and place you value most. Blinds throughout the whole house and garage door operators are included. The Elston boasts over 2176 sq. ft. of luxurious living. It's a 4 bedrooms 2.5 baths. A spacious gourmet kitchen flows into an oversized Great room. Large bedrooms & deluxe master suite with a loft. Open Air Fitness Center. Don't miss out! Selling fast! Call Yolette, the listing agent for an appointment and a GPS address. 100 % FINANCING ALONG WITH THIS FIXED SPECIAL RATE AVAILABLE, LIKE BUY DOWN INTEREST RATES BELOW MARKET RATE TO ....WITH PREFERRED LENDER for the lifetime of the loan, paid by the seller for contract written this month to close in July. AND UP TO $10,000 TOWARD CLOSING COSTS (REALLY COVERS MOST OF THE CLOSING COSTS).  PLUS, FULL FREE APPLIANCES PACKAGE: REFRIGERATOR, WASHER/DRYER, STOVE, MICROWAVE, DISWASHER.    AN ADDITIONAL $2,000 TO HOMETOWN HERO (Nurse, Military, Law enforcement, Teacher, EMT, Fire fighter).       Open house Every Monday and Tuesday. The Other days By Appointment Only.  BY Appointment Only",2024,"8,712 sqft",False,"2,176"
28,2401 Aukerman Trce #76,Hampton,GA,30228,2017,33.43823,-84.31744,FOR_SALE,https://www.zillow.com/homedetails/2401-Aukerman-Trce-76-Hampton-GA-30228/439875256_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw Homes Presents: The Indigo Floorplan features 4 bed /3 bath, with one large bedroom on main level. Open kitchen floorplan to family room, 42 kitchen cabinets, Granite Countertops w/ Island, Tile Backsplash, Decorative Brick Fireplace in Great room, Spacious Master Suite with huge walk-in closets, separate tub/shower, Large additional secondary bedrooms. Stainless Steel Appliances, Venetian Bronze Lighting & Hardware Fixtures. LVP Flooring throughout main level. Laundry Room Downstairs. Buyer incentives available! 2-10 Builders Warranty. Photo is a rendering and not the actual home.",2024,,False,"2,017"
29,11663 Brightside Pkwy,Hampton,GA,30228,2520,33.436558,-84.31967,FOR_SALE,https://www.zillow.com/homedetails/11663-Brightside-Pkwy-Hampton-GA-30228/339033000_zpid/,Clayton County,SINGLE_FAMILY,"Welcome Home Towne Center    Modern Home, Ideal location, This well-maintained house offers approximately 2,500 square feet of living space with two primary suites, 2 secondary bedrooms and three bathrooms. The home features an Open concept complete with stainless steel appliances, providing a modern and functional kitchen, two separate  entertaining spaces to accommodate the needs of the modern family. The property is conveniently located near shopping and amenities, allowing for easy access to and from home.  Come stop by for a closer look today!!!Seller Offering $5000 w/ Full price offer, $1500 lender credit available with Preferred Lender Malinda Moody, Presidential Mortgage. Free Home Warranty!!! for qualified Buyers",2022,,False,"2,520"
30,11200 Cornerstone Way,Hampton,GA,30228,1684,33.4518,-84.3091,FOR_SALE,https://www.zillow.com/homedetails/11200-Cornerstone-Way-Hampton-GA-30228/440880430_zpid/,Clayton County,SINGLE_FAMILY,"For a limited time all closing cost paid with preferred builder lender. Lois Plan - This is a Craftsman style ranch with a covered back porch. Open concept floor plan with a spacious great room, kitchen and dining area, split bedroom plan, owner's suite has a walk in closet, double vanities and separate tub & shower, two secondary bedrooms, hall full bathroom and a laundry room. Interior features include carpet in bedrooms, luxury vinyl tile in baths, luxury vinyl plank in common areas, 42 inch cabinets, granite countertops, large kitchen island. Exterior features Hardie-Plank siding, stone accents, rear patio. Completion date Feb 20th.",2024,0.25 Acres,False,"1,684"
31,11711 Chatham Dr,Hampton,GA,30228,1568,33.43774,-84.32305,FOR_SALE,https://www.zillow.com/homedetails/11711-Chatham-Dr-Hampton-GA-30228/342334114_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! READY TO CLOSE!",2024,"3,484 sqft",False,"1,568"
32,879 Eagle Ave,Riverdale,GA,30274,1849,33.532722,-84.42087,FOR_SALE,https://www.zillow.com/homedetails/879-Eagle-Ave-Riverdale-GA-30274/445805030_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! MOVE-IN-READY! END UNIT! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY! Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
33,2333 Church St,Hampton,GA,30228,2030,33.436928,-84.31567,FOR_SALE,https://www.zillow.com/homedetails/2333-Church-St-Hampton-GA-30228/439445551_zpid/,Clayton County,SINGLE_FAMILY,"Welcome to this charming 4-bedroom, 2.5-bathroom home, offering a perfect blend of comfort and style. As you step inside, you’ll be greeted by a spacious, open-concept living area with abundant natural light, creating a warm and inviting atmosphere. The well-designed floor plan features a cozy family room that flows seamlessly into a modern kitchen, complete with sleek countertops, ample cabinetry, and a convenient island that’s perfect for meal prep or casual dining.    The home boasts a generous primary suite with a private en-suite bathroom, providing a serene retreat with dual sinks, a soaking tub, and a separate shower. Three additional bedrooms offer plenty of space for family or guests, and they share a tastefully appointed full bathroom. A conveniently located half-bath on the main floor adds to the home’s functionality.    Outside, you’ll find a large yard with plenty of room for outdoor activities and relaxation. Whether you’re hosting gatherings on the patio or enjoying a quiet evening under the stars, this outdoor space is sure to impress.    Additional features include a dedicated laundry room, a two-car garage, and ample storage throughout. Situated in a friendly neighborhood with easy access to local amenities, schools, and parks, this home provides everything you need for comfortable, modern living.    ***Seller is open to Seller Financing***",2022,"4,978 sqft",False,"2,030"
34,11045 Shadow Creek Ter #65,Hampton,GA,30228,2306,33.453747,-84.34362,FOR_SALE,https://www.zillow.com/homedetails/11045-Shadow-Creek-Ter-65-Hampton-GA-30228/443833915_zpid/,Clayton County,SINGLE_FAMILY,"NEW CONSTRUCTION! Ready February! Discover the allure of the Rose Plan in Shadow Creek! This thoughtfully designed home features 4 bedrooms, 3 baths, and a versatile loft, offering plenty of space for relaxation and functionality. Enjoy the convenience of a full bedroom and bath on the main level, perfect for guests or family. The open 2-story family room, filled with natural sunlight, creates a warm and inviting atmosphere. The kitchen is a chef's dream, featuring an island, granite countertops, a stylish tile backsplash, and stainless steel appliances, all seamlessly connected to the family room-ideal for entertaining. Retreat to the spacious primary suite, complete with a large walk-in closet and a luxurious bath boasting granite countertops, a dual vanity, a tile shower surround, and elegant LVP flooring. Whether you're enjoying a stroll, letting the kids play, or staying active, Shadow Creek provides the perfect backdrop for your ideal lifestyle. Welcome home to comfort, style, and community! Why rent when you can own this beautiful, brand new construction home now. Incentives are available to utilize towards closing costs and/or rate buy down with the use of our preferred lender. Hurry this one won't last!",2024,435.60 sqft,False,"2,306"
35,7902 W Shore Cir,Riverdale,GA,30296,2506,33.53964,-84.42983,FOR_SALE,https://www.zillow.com/homedetails/7902-W-Shore-Cir-Riverdale-GA-30296/35788490_zpid/,Clayton County,SINGLE_FAMILY,"New Construction! Move-in ready!! Welcome to your unique and dream home, 4 bedrooms, 4.5 baths. No sharing of bathroom - MODERN LIVING, every bedroom has its own bathroom for maximum convenience, comfort, and privacy with a separate 1/2 bathroom for visitors. Throughout the main level and landing area on the upper level, luxury vinyl plank flooring adds both style and durability to the living spaces. Guest bedroom on the main. Large tray ceiling master's bedroom with large walk-in-closet on the second floor. The master's bathroom is beautifully done with tiled shower, frameless shower door, tub, and double vanity. Laundry is conveniently located on the second floor with brand NEW WASHER AND DRYER. This house is uniquely beautiful in and out with bricks on the front elevation and Fiber cement siding that is paintable and fire-resistant on the other sides. The open-concept kitchen links the living room and dining area and boasts of granite countertop, stainless steel appliances, tiled backsplash, and a large Island that makes interacting with the entire family a breeze. All electric, no gas bill! Atlanta's vibrant attractions, including shopping, dining, and entertainment are just a short drive away. Schedule your showings today as you look forward to living the dream.",2024,"9,844 sqft",False,"2,506"
36,2397 Aukerman Trce #77,Hampton,GA,30228,2030,33.43815,-84.31732,FOR_SALE,https://www.zillow.com/homedetails/2397-Aukerman-Trce-77-Hampton-GA-30228/439875386_zpid/,Clayton County,SINGLE_FAMILY,"Convenient to shopping and restaurants. The Bermuda Floorplan features 4 bed 2.5 bath. Open kitchen floorplan to family room, 42 kitchen cabinets, Granite Countertops w/ Island, Tile Backsplash, Decorative Brick Fireplace in Great room, Spacious Master Suite with huge walk-in closets, separate tub/shower, Large additional secondary bedrooms. Stainless Steel Appliances, Venetian Bronze Lighting & Hardware Fixtures. LVP Flooring throughout main level. Laundry Room Downstairs. Great Buyer incentives available! 2-10 Builders Warranty. Photo is a rendering and not the actual home. Home is Under Construction!!!",2024,"5,706 sqft",False,"2,030"
37,11879 Aukerman Way #128,Hampton,GA,30228,2361,33.431087,-84.31905,FOR_SALE,https://www.zillow.com/homedetails/11879-Aukerman-Way-128-Hampton-GA-30228/443252306_zpid/,Clayton County,SINGLE_FAMILY,Gated Affordable Luxury. Minutes from Hartsfield Jacckson Airport. The Elston boasts over 2100 sq. ft. of luxurious living. A spacious gourmet kitchen flows into an oversized Great room. Large bedrooms & deluxe master suite with a loft.  You are never far from the ones you love with our Home is Connected package. An industry leading suite of innovative smart home products that are a part of your home. Special financing available to all qualified buyers.,2022,"8,712 sqft",False,"2,361"
38,2299 Church St,Hampton,GA,30228,1883,33.43601,-84.316345,FOR_SALE,https://www.zillow.com/homedetails/2299-Church-St-Hampton-GA-30228/339033060_zpid/,Clayton County,SINGLE_FAMILY,"Welcome Home!!! This beautiful 2022 built home offers 4 bedroom 2.5 bath. Spacious kitchen with stainless steel appliances, separate dining room and open living room for entertaining and fire place for those cozy winter nights. Upper level offers a spacious master bedroom with walk in closet. Separate shower and soak in tub. 3 secondary bedrooms with full bathroom. Nice size backyard for family gatherings. Schedule your showing today! This home has been virtually staged to illustrate its potential.",2022,,False,"1,883"
39,883 Eagle Ave,Riverdale,GA,30274,1849,33.532722,-84.420944,FOR_SALE,https://www.zillow.com/homedetails/883-Eagle-Ave-Riverdale-GA-30274/445804126_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! MOVE IN READY! $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY! Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
40,11718 Chatham Dr,Hampton,GA,30228,1568,33.437893,-84.32256,FOR_SALE,https://www.zillow.com/homedetails/11718-Chatham-Dr-Hampton-GA-30228/2052946301_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"3,484 sqft",False,"1,568"
41,11948 Brightside Pkwy,Hampton,GA,30228,2150,33.43712,-84.31838,FOR_SALE,https://www.zillow.com/homedetails/11948-Brightside-Pkwy-Hampton-GA-30228/339032978_zpid/,Clayton County,SINGLE_FAMILY,"The Seller Is Motivated!! All Offers Will Be Considered. Beautifully Designed 2-Story Home in a Desirable Neighborhood! Step inside to a welcoming foyer that flows seamlessly into a spacious open-concept living area, perfect for gatherings. The modern kitchen is a cook's delight featuring a large island with stainless steel appliances. Upstairs, the primary suite offers a generous layout with a private ensuite bathroom, while the secondary bedrooms boast plenty of space and ample closet storage. Conveniently located near shopping, dining, and entertainment options- this home has it all!",2022,"3,484 sqft",False,"2,150"
42,8218 Tiger Way,Riverdale,GA,30296,1849,33.53273,-84.42108,FOR_SALE,https://www.zillow.com/homedetails/8218-Tiger-Way-Riverdale-GA-30296/346703016_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! MOVE-IN-READY! END UNIT! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,,False,"1,849"
43,12046 Conrad Cir #100,Hampton,GA,30228,2361,33.428688,-84.317215,FOR_SALE,https://www.zillow.com/homedetails/12046-Conrad-Cir-100-Hampton-GA-30228/443651816_zpid/,Clayton County,SINGLE_FAMILY,"Gated! Gated! Tranquil Luxury Living close to Airport and Shopping at an Affordable price. Special Financing available with preferred lender & UP T0 10,000 towards closing costs. The Robie is an Elegant 5 Bedrooms, 3 Full Baths offering one Bedroom and full Bath on the main. Shoal Creek is centrally located minutes from I-75, fine Dining & Shopping. This home has a Huge Gourmet Kitchen with an Oversized Island, Stainless steel appliances. Opens to the Family room for Entertaining, Blinds throughout and a Garage Door Opener is included to complete this beautiful home. You are never too far away from home with HOME is Connected an industry leading suite of Smart Home products that keep you connected with the people and place you 'll love.",2024,"8,712 sqft",False,"2,361"
44,3380 Mount Zion Rd,Stockbridge,GA,30281,1850,33.551754,-84.28162,FOR_SALE,https://www.zillow.com/homedetails/3380-Mount-Zion-Rd-Stockbridge-GA-30281/250290555_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new home at 3380 Mt Zion Road, Stockbridge! This stunning new construction, built in 2022, features modern amenities and quality finishes throughout. The kitchen and bathrooms boast beautiful granite countertops, complemented by brand-new stainless-steel appliances. Conveniently located close to the interstate, you're just 20 minutes away from the airport and downtown Atlanta. Enjoy the vibrant city vibes with entertainment, restaurants, and shopping just minutes away. Buyers can benefit from down payment options and an assumable low interest rate. Don't miss out on this incredible opportunity to own a piece of luxury in a prime location for under 300K!",2022,"3,484 sqft",False,"1,850"
45,11719 Chatham Dr,Hampton,GA,30228,1568,33.437527,-84.32305,FOR_SALE,https://www.zillow.com/homedetails/11719-Chatham-Dr-Hampton-GA-30228/342490221_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"3,484 sqft",False,"1,568"
46,5696 Laney Dr,Rex,GA,30273,0,33.5821,-84.2759,FOR_SALE,https://www.zillow.com/homedetails/5696-Laney-Dr-Rex-GA-30273/439445509_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw homes presents the magnificent Magnolia design located in the prestigious Laney Place community. Prepare to be amazed by this breathtaking home offered at an unbelievable price. Boasting 4 bedrooms, 2.5 baths, a formal dining room, and an open floor concept, it offers the perfect blend of functionality and elegance. The gourmet kitchen is a chef's dream, featuring stainless steel appliances, a tile backsplash, and luxurious granite countertops overlooking the spacious great room, island, and oversized pantry for ample storage. Marvel at the eye-catching brick fireplace with a decorative hearth and enjoy the luxury vinyl plank flooring throughout the main level, baths, and laundry areas. Discover what sets Capshaw Homes apart from other builders by visiting https://capshawhomes.com/why-capshaw/. Rest assured, all Capshaw Homes come with the assurance of a 2-10 Home Buyer's Warranty. Additionally, we are proud recipients of the 2020 Platinum Builder Award, a testament to our commitment to excellence in homebuilding. Learn more about this prestigious award at https://www.2-10.com/builders-warranty/builder-awards/#. Home depicts actual photos. Ready for quick close!!!!  Come and experience the Capshaw Homes difference firsthand. Contact us today to schedule a viewing!",2024,0.30 Acres,False,0
47,11975 Quail Rd #41,Hampton,GA,30228,1633,33.433174,-84.31349,FOR_SALE,https://www.zillow.com/homedetails/11975-Quail-Rd-41-Hampton-GA-30228/2055214040_zpid/,Clayton County,SINGLE_FAMILY,This house is Move-in-Ready! Please call Agent for Builder incentives. Call Carolyn Reed at 678-481-8472.,2023,"1,306 sqft",False,"1,633"
48,11600 Winston Dr,Hampton,GA,30228,2080,33.438366,-84.3199,FOR_SALE,https://www.zillow.com/homedetails/11600-Winston-Dr-Hampton-GA-30228/359204352_zpid/,Clayton County,SINGLE_FAMILY,"Welcome Home! This beautiful 2-story 4- bedroom, 2.5-bathroom home, in the sought after Towne center community features an open floor plan, kitchen island with quartz countertops, large secondary bedrooms, large master bedroom, spacious walk-in closet, and large shower and separate soaking tub in the master bathroom. Don't miss your opportunity to own your dream home.  Just minutes away from shopping, restaurants, and the Atlanta Motor Speedway! Towne Center is a gated community.",2022,,False,"2,080"
49,11719 Chatham Dr #65,Hampton,GA,30228,1568,33.437138,-84.32311,FOR_SALE,https://www.zillow.com/homedetails/11719-Chatham-Dr-65-Hampton-GA-30228/342489681_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"3,484 sqft",False,"1,568"
50,7428 Mockingbird Trl,Riverdale,GA,30274,0,33.55489,-84.378265,FOR_SALE,https://www.zillow.com/homedetails/7428-Mockingbird-Trl-Riverdale-GA-30274/250293710_zpid/,Clayton County,SINGLE_FAMILY,"Brand-new construction in a well-established neighborhood! This home is designed to impress with its stunning kitchen and abundant natural light throughout. Every detail, from the elegant fixtures and quartz countertops to the appliances and carefully selected flooring, has been thoughtfully chosen to combine sophistication with comfortable living.",2024,43.56 sqft,False,0
51,11682 Chatham Dr,Hampton,GA,30228,1568,33.437675,-84.32264,FOR_SALE,https://www.zillow.com/homedetails/11682-Chatham-Dr-Hampton-GA-30228/342710542_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"3,484 sqft",False,"1,568"
52,11996 Conrad Cir #128,Hampton,GA,30228,2361,33.42846,-84.31841,FOR_SALE,https://www.zillow.com/homedetails/11996-Conrad-Cir-128-Hampton-GA-30228/443629124_zpid/,Clayton County,SINGLE_FAMILY,Gated Affordable Luxury. Minutes from Hartsfield Jacckson Airport. The Elston boasts over 2100 sq. ft. of luxurious living. A spacious gourmet kitchen flows into an oversized Great room. Large bedrooms & deluxe master suite with a loft.  You are never far from the ones you love with our Home is Connected package. An industry leading suite of innovative smart home products that are a part of your home. Special financing available to all qualified buyers.,2022,"8,712 sqft",False,"2,361"
53,11682 Chatham Dr #93,Hampton,GA,30228,1568,33.437447,-84.32221,FOR_SALE,https://www.zillow.com/homedetails/11682-Chatham-Dr-93-Hampton-GA-30228/342710840_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"3,484 sqft",False,"1,568"
54,855 Eagle Ave,Riverdale,GA,30247,1849,33.532722,-84.420944,FOR_SALE,https://www.zillow.com/homedetails/855-Eagle-Ave-Riverdale-GA-30247/443082805_zpid/,Clayton County,TOWNHOUSE,"JANUARY COMPLETION! END UNIT! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY--Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
55,8214 Tiger Way,Riverdale,GA,30274,1849,33.532722,-84.42087,FOR_SALE,https://www.zillow.com/homedetails/8214-Tiger-Way-Riverdale-GA-30274/441580053_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! MOVE-IN-READY! END UNIT! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY! Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
56,12034 Conrad Cir,Hampton,GA,30228,2001,33.43082,-84.31939,FOR_SALE,https://www.zillow.com/homedetails/12034-Conrad-Cir-Hampton-GA-30228/439445489_zpid/,Clayton County,SINGLE_FAMILY,"READY NOW!! Welcome home to Shoal Creek! Gated Community, easy access to Interstate 75, luxury living at an affordable price. Close to tons of shopping and dining including Starbucks, Publix, Walmart, Aldi, Kroger and so much more! . The Saratoga floor plan* This floor plan features 3 bedrooms with 2.5 baths, opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, stained cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, 2 large walk-in closets and bathroom with double vanity, separate soaking tub and shower!  Smart home technology package included, along with garage door openers, and whole house blinds!  Don't miss out on our BELOW MARKET fixed interest rate with ALL CLOSING COSTS COVERED, STAINLESS STEEL APPLIANCE PACKAGE available for a limited time with the use of preferred lender!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMTs!  STOCK PHOTOS of similar home.",2024,,False,"2,001"
